gene,GSE349#GSM4901,GSE349#GSM4902,GSE349#GSM4904,GSE349#GSM4905,GSE349#GSM4906,GSE349#GSM4909,GSE349#GSM4910,GSE349#GSM4911,GSE349#GSM4912,GSE349#GSM4913,GSE349#GSM4916,GSE349#GSM4918,GSE349#GSM4922,GSE349#GSM4924
1001,9.00481877270278,9.92106434994174,8.250288942045719,8.2498766818577,9.592313134342561,5.1897810797441615,4.85850822868846,7.88823182330932,9.35716928779651,7.38874921354906,10.3653382230464,8.043831139871559,7.81329379857228,5.5808359069093605
10010,5.39516564958529,6.66963626613284,6.59268725209733,3.2250203686167205,6.666330536349619,3.9589447272314704,4.66468193674609,5.24026089519452,5.515135263540749,5.14926343079778,4.37032472609558,4.83003216791289,5.242972087268219,6.24117854246703
100101267,,,,,,,,,,,,,,
10011,,,,,,,,,,,,,,
100113378,,,,,,,,,,,,,,
100113379,,,,,,,,,,,,,,
100113380,,,,,,,,,,,,,,
100113384,,,,,,,,,,,,,,
100113389,,,,,,,,,,,,,,
100113392,,,,,,,,,,,,,,
100113407,,,,,,,,,,,,,,
100124412,,,,,,,,,,,,,,
100124534,,,,,,,,,,,,,,
100124535,,,,,,,,,,,,,,
100124536,,,,,,,,,,,,,,
100124537,,,,,,,,,,,,,,
100124538,,,,,,,,,,,,,,
100124539,,,,,,,,,,,,,,
100124540,,,,,,,,,,,,,,
100124541,,,,,,,,,,,,,,
100124696,5.788803146638429,5.10957786673991,5.09171675714654,5.60492826250811,4.96532254836725,5.49706302787361,4.8593881799975085,4.66760264911311,4.65791434268038,5.531540538117781,3.0388136632241403,4.8477514271403,4.98240953565477,4.87768045590072
100124700,,,,,,,,,,,,,,
100125288,,,,,,,,,,,,,,
100125556,,,,,,,,,,,,,,
100126791,,,,,,,,,,,,,,
100126793,,,,,,,,,,,,,,
100128385,,,,,,,,,,,,,,
100128553,,,,,,,,,,,,,,
100128569,,,,,,,,,,,,,,
100128731,,,,,,,,,,,,,,
100128782,,,,,,,,,,,,,,
100128927,,,,,,,,,,,,,,
100129128,,,,,,,,,,,,,,
100129271,8.867494973296118,8.42660022616992,8.07992205948654,8.8133194549222,7.76360411572737,9.61680795426819,9.16485665768002,8.53275331793726,8.37077457607952,8.32881851657808,8.570007462974619,9.16025718087891,9.04473016258605,9.19953739256001
100129482,,,,,,,,,,,,,,
100129583,,,,,,,,,,,,,,
